timestamp,AlertString,1minavg,5minavg,15minavg
Thu 02 Feb 2023 04:47:30 AM UTC,HIGH USAGE,1.54, 0.33, 0.70
Thu 02 Feb 2023 04:47:35 AM UTC,HIGH USAGE,2.22, 0.49, 0.75
Thu 02 Feb 2023 04:47:41 AM UTC,HIGH USAGE,2.84, 0.65, 0.80
Thu 02 Feb 2023 04:47:47 AM UTC,HIGH USAGE,3.41, 0.80, 0.85
Thu 02 Feb 2023 04:47:53 AM UTC,HIGH USAGE,3.94, 0.96, 0.90
Thu 02 Feb 2023 04:47:58 AM UTC,HIGH USAGE,4.43, 1.11, 0.95
Thu 02 Feb 2023 04:47:58 AM UTC,VERY HIGH USAGE,4.43, 1.11, 0.95
Thu 02 Feb 2023 04:48:04 AM UTC,HIGH USAGE,5.36, 1.42, 1.06
Thu 02 Feb 2023 04:48:05 AM UTC,VERY HIGH USAGE,5.36, 1.42, 1.06
Thu 02 Feb 2023 04:48:10 AM UTC,HIGH USAGE,5.73, 1.56, 1.10
Thu 02 Feb 2023 04:48:10 AM UTC,VERY HIGH USAGE,5.73, 1.56, 1.10
Thu 02 Feb 2023 04:48:20 AM UTC,HIGH USAGE,6.39, 1.84, 1.20
Thu 02 Feb 2023 04:48:20 AM UTC,VERY HIGH USAGE,6.39, 1.84, 1.20
Thu 02 Feb 2023 04:48:25 AM UTC,HIGH USAGE,5.88, 1.81, 1.19
Thu 02 Feb 2023 04:48:30 AM UTC,HIGH USAGE,5.41, 1.78, 1.19
Thu 02 Feb 2023 04:48:35 AM UTC,HIGH USAGE,4.97, 1.75, 1.18
